Symbol,Company,Industry,CurrentDate,CurrentPrice,Low52Weeks,High52Weeks,MA50,MA150,MA200,MA200PastMonth
KDP,Keurig Dr Pepper Inc,Consumer Staples,2016-01-04,12.536438941955566,9.468565940856934,12.91159725189209,12.252658214569092,11.101464894612631,10.91148334980011,10.687745952606202
GOOG,Alphabet Inc Class C,Communication,2016-01-04,37.09199905395508,24.560070037841797,38.83000183105469,36.983150024414066,32.39629994710287,31.048139963150025,30.05279752731323
EQIX,Equinix Reit Inc,Real Estate,2016-01-04,256.06585693359375,175.7848663330078,263.7629699707031,255.3401092529297,235.0717621866862,227.28109413146973,220.35579193115234
NVDA,Nvidia Corp,Information Technology,2016-01-04,7.900972366333008,4.595529556274414,8.237809181213379,7.625126075744629,6.150516961415609,5.928998959064484,5.668377916812897
TSN,Tyson Foods Inc Class A,Consumer Staples,2016-01-04,44.96687698364258,31.527923583984375,45.807464599609375,41.560862655639646,38.066815567016604,37.00602336883545,35.87873485565186
MAA,Mid America Apartment Communities,Real Estate,2016-01-04,69.0829849243164,53.008460998535156,70.90160369873047,67.40915092468262,62.26687774658203,61.06005485534668,59.64969690322876
MSFT,Microsoft Corp,Information Technology,2016-01-04,48.797733306884766,35.021549224853516,50.35604476928711,48.32746833801269,42.78705619812012,41.90016897201538,40.704023113250734
ATVI,Activision Blizzard Inc,Communication,2016-01-04,35.59275436401367,17.3725643157959,37.44713592529297,35.08261199951172,29.374399375915527,27.653986473083496,26.161552295684814
AVGO,Broadcom Inc,Information Technology,2016-01-04,111.73907470703125,74.68978881835938,116.52410125732422,104.56028152465821,101.60928827921549,100.87131839752197,99.19085498809814
MKTX,Marketaxess Holdings Inc,Financials,2016-01-04,102.75374603271484,63.0570068359375,107.41753387451172,98.36898071289062,92.17895517985026,89.45810523986816,86.95180652618409
HD,Home Depot Inc,Consumer Discretionary,2016-01-04,109.18876647949219,82.43798065185547,112.07113647460938,107.40368621826173,99.48531407674153,97.73097637176514,96.11539657592773
RCL,Royal Caribbean Group Ltd,Consumer Discretionary,2016-01-04,88.89033508300781,59.693992614746094,93.0477294921875,87.00205032348633,80.8204298400879,77.56053001403808,75.80814708709717
PODD,Insulet Corp,Health Care,2016-01-04,37.060001373291016,25.639999389648438,45.09000015258789,35.03280002593994,31.811400044759115,31.287299995422362,30.87270004272461
PSA,Public Storage Reit,Real Estate,2016-01-04,180.2344970703125,132.72476196289062,186.016845703125,175.17947235107422,156.75028310139973,152.55517753601075,148.22184761047365
NOC,Northrop Grumman Corp,Industrials,2016-01-04,165.7554473876953,124.43415832519531,169.26483154296875,164.55530853271483,152.54908803304036,149.27240173339842,146.87662719726563
HRL,Hormel Foods Corp,Consumer Staples,2016-01-04,33.096858978271484,20.922212600708008,34.0658073425293,30.90438343048096,27.168227195739746,26.299230690002442,25.351471977233885
ULTA,Ulta Beauty Inc,Consumer Discretionary,2016-01-04,181.80999755859375,126.94999694824219,187.27000427246094,175.13519989013673,166.90666646321614,163.35924995422363,159.17444999694825
ADBE,Adobe Inc,Information Technology,2016-01-04,91.97000122070312,69.98999786376953,95.55999755859375,91.36499984741211,84.77873326619466,82.70929996490479,81.22270008087158
TAP,Molson Coors Brewing Class B,Consumer Staples,2016-01-04,77.68017578125,54.625953674316406,80.0790023803711,77.12441055297852,67.11809471130371,65.85949789047241,64.18986530303955
VLO,Valero Energy Corp,Energy,2016-01-04,50.164344787597656,30.752975463867188,52.380611419677734,49.87263252258301,46.24276845296224,45.165908336639404,44.3251948928833
MCD,Mcdonalds Corp,Consumer Discretionary,2016-01-04,97.1851577758789,70.93563842773438,99.24324798583984,94.45444091796875,84.68858459472656,83.13257373809815,81.23987602233886
GE,General Electric,Industrials,2016-01-04,165.0695037841797,122.51032257080078,168.13328552246094,161.5650555419922,146.49739059448243,144.82105907440186,141.79840381622316
EFX,Equifax Inc,Industrials,2016-01-04,101.15151977539062,73.0966796875,104.99609375,100.89490264892578,94.90966079711914,93.25441905975342,91.48778381347657
MSCI,Msci Inc,Financials,2016-01-04,64.88397979736328,42.85525131225586,66.94233703613281,63.42174621582031,59.11364232381185,58.3778479385376,57.02278429031372
EXR,Extra Space Storage Reit Inc,Real Estate,2016-01-04,66.67033386230469,44.315208435058594,68.49235534667969,63.146517028808596,57.325796076456704,55.612036514282224,53.796934604644775
STZ,Constellation Brands Inc Class A,Consumer Staples,2016-01-04,126.43712615966797,89.0368423461914,130.013916015625,124.70620986938476,115.64911661783854,112.93672416687012,110.5021170425415
KR,Kroger,Consumer Staples,2016-01-04,35.36749267578125,26.80968475341797,36.639190673828125,33.64466400146485,32.29443692525228,32.05192789077759,31.60992039680481
FICO,Fair Isaac Corp,Information Technology,2016-01-04,92.97967529296875,69.92584228515625,97.12246704101562,91.67188369750977,89.41514694213868,89.39017040252685,88.56087802886962
LHX,L3Harris Technologies Inc,Industrials,2016-01-04,75.6198959350586,56.495216369628906,77.19872283935547,70.77697341918946,67.88499384562175,67.63158102035523,66.65480602264404
